ContactId,FirstName,LastName,FullName,DateOfBirth,Gender,EMail,Telephone,PostCode,StreetAddress,City,State,Country,CreatedOn,Loyalty Tier,Email Subscriber,Income,Occupation,CustomerSatisfaction
CNTID_1010,Thomas,Hawkey,Thomas Hawiey,9/7/1972,Male,thomas_hawkey@allenltd.com,150-111-5060,82352,8701 Calvin Groves,Daly City,California,USA,1/31/2019,medium,Yes,84403.5393089297,Teacher,medium
CNTID_1011,Paul,Hostetler,Paul Hostetler,6/26/2001,Male,paul_hostetler@whitebaxterandsimpson.com,145.729.6509x98208,72928,76466 Pamela Fords,Visalia,California,USA,1/31/2019,medium,No,20000.0,Teacher,low
CNTID_1012,William,Lowhorn,Wiqliam Lowhorn,5/22/1982,Male,william_lowhorn@daymurphyandherrera.com,655-423-0816x0881,29334,526 Gray Freeway Apt. 976,Pearland,Texas,USA,1/31/2019,medium,No,20000.0,Software Engineer,low
CNTID_1013,William,Belles,William Belles,6/28/1974,Male,william_belles@robbinsandsons.com,345-679-4618x02806,20728,09538 Carroll Overpass,Stamford,Connecticut,USA,1/31/2019,medium,No,20000.0,Software Engineer,medium
CNTID_1014,Anthony,Actis,Anthony Actis,10/6/1978,Male,anthony_actis@ericksonwright.com,857-766-9037x7724,36330,36832 Jessica Bridge,Kent,Washington,USA,1/31/2019,low,Yes,314676.95527093037,Doctor,medium
CNTID_1015,Edward,Dimalanta,Edward Dimalanta,10/3/1982,Male,edward_dimalanta@leonardmillsandnewman.com,468-066-4361x36983,74413,9795 Alice Ramp,Fremont,California,USA,1/31/2019,medium,No,98571.60919668623,Teacher,medium
CNTID_1016,Ronald,Berning,Berning Ronald,11/12/2005,Male,ronald_berning@gonzalezwang.com,659-478-7053x4515,64711,82523 Padilla Rue Apt. 803,West Valley City,Utah,USA,1/31/2019,medium,No,29464.344850058307,Teacher,high
CNTID_1017,Daniel,Valme,Daniel Valme,4/12/1972,Male,daniel_valme@luceroschultz.com,001-446-175-3858x04144,90046,094 Parker Hollow Apt. 619,Springfield,Illinois,USA,1/31/2019,high,Yes,180350.64274158192,Software Engineer,high
CNTID_1018,Michael,Muskthel,Muskthel Michael,12/15/1977,Male,michael_muskthel@bennettburnett.com,999-434-0395,25452,269 Charles Stream,Worcester,Massachusetts,USA,1/31/2019,medium,No,115968.95412553787,Teacher,high
CNTID_1019,Brian,Daricek,Bricn Daricek,5/24/1970,Male,brian_daricek@mendezlarsonandmoore.com,(851)743-3444x38523,85310,7633 Hernandez Club Suite 307,Overland Park,Kansas,USA,1/31/2019,medium,No,20000.0,Teacher,medium
CNTID_1020,Donald,Ham,Donald Ham,10/12/2000,Male,donald_ham@hatfieldgutierrez.com,231.900.0749x963,53955,29419 Michelle Wall,Sandy Springs,Georgia,USA,1/31/2019,medium,No,20000.0,Software Engineer,medium
CNTID_1021,Richard,Durrance,Richard Durrance,12/5/1979,Male,richard_durrance@drakellc.com,(601)050-4872x9400,56173,17052 Joshua Knoll Suite 206,Pomona,California,USA,1/31/2019,medium,Yes,20000.0,Software Engineer,medium
CNTID_1022,George,Deang,Gmorge Deang,4/22/1980,Male,george_deang@dodsondaltonandmathews.com,863-170-7317x93325,51501,548 Adams Flats,Temecula,California,USA,1/31/2019,high,Yes,147386.59538746098,Software Engineer,high
CNTID_1023,Daniel,Prass,Daliel Prass,2/28/1979,Male,daniel_prass@stewartmooreandrosales.com,029-802-7724x45839,23400,145 Hardin Valleys Suite 503,Anaheim,California,USA,1/31/2019,low,Yes,167783.31949944506,Software Engineer,low
CNTID_1024,Joseph,Brant,Joseph Bmant,7/15/1992,Male,joseph_brant@gomezltd.com,665-157-7561,12368,617 Parker Corner,New Haven,Connecticut,USA,1/31/2019,medium,No,124940.20352735152,Teacher,medium
CNTID_1025,Edward,Dobler,Edward Dobler,11/14/2015,Male,edward_dobler@butlerwilliamsandturner.com,014-721-4131,26860,745 Barrett Loaf Apt. 997,Chandler,Arizona,USA,1/31/2019,medium,Yes,73971.45181651034,Teacher,medium
CNTID_1026,Robert,Chalmers,Robent Chalmers,5/2/1985,Male,robert_chalmers@nelsonandsons.com,656-965-6577x931,95785,338 Ruiz Mount,Victorville,California,USA,1/31/2019,medium,Yes,83322.43406569015,Teacher,medium
CNTID_1027,Richard,Aki,Aki Richard,7/29/2015,Male,richard_aki@leblancthomas.com,(477)304-7784,30737,83349 Kevin Stravenue Suite 217,Vista,California,USA,1/31/2019,medium,No,20000.0,Teacher,medium
CNTID_1028,Joseph,Studier,Joseph ntudier,10/18/1994,Male,joseph_studier@hebertgrayandmartinez.com,6853895591,14637,4338 Lynch Way Suite 006,Santa Rosa,California,USA,1/31/2019,medium,No,58506.28816920372,Software Engineer,low
CNTID_1029,Charles,Landes,Charles Laedes,10/10/2000,Male,charles_landes@jonesjacksonandcole.com,194-245-2335x5051,84223,01331 Shaw Path Apt. 023,Midland,Texas,USA,1/31/2019,medium,No,105454.08794741088,Student,low
CNTID_1030,Donald,Woolhouse,Donalr Woolhouse,1/21/2000,Male,donald_woolhouse@stephensgroup.com,(223)146-6176x9066,32407,23642 Rachel Lodge,Garden Grove,California,USA,1/31/2019,medium,No,20000.0,Teacher,medium
CNTID_1031,Richard,Crego,Crego Richard,8/23/1994,Male,richard_crego@andersonjames.com,8981719509,67878,0996 Gomez Trail Apt. 619,Moreno Valley,California,USA,1/31/2019,medium,No,68313.83590125141,Teacher,medium
CNTID_1032,Joseph,Colander,Joseph Colander,3/17/1994,Male,joseph_colander@roachcampbell.com,(391)500-8955,24243,835 Dodson Spring,Austin,Texas,USA,1/31/2019,medium,No,56694.34438206318,Teacher,medium
CNTID_1033,Donald,Garica,Donald Garica,2/21/2006,Male,donald_garica@batessmith.com,(180)066-1404,80329,241 Andre Tunnel,Dayton,Ohio,USA,1/31/2019,medium,Yes,166241.3562191818,Software Engineer,medium
CNTID_1034,David,Fitser,David Fitser,12/7/2000,Male,david_fitser@hollandnovakandlivingston.com,001-133-138-7570x599,13974,0197 Christopher Gateway Apt. 832,Fort Worth,Texas,USA,1/31/2019,medium,No,84056.45729602996,Teacher,low
CNTID_1035,Christopher,Lemans,Christopher Lemans,3/13/2007,Male,christopher_lemans@farleymilesandgarrett.com,(416)103-2568,47794,6281 Paul Heights Suite 024,Knoxville,Tennessee,USA,1/31/2019,medium,No,111318.18950439047,Teacher,high
CNTID_1036,Paul,Purves,Pall Purves,4/29/1972,Male,paul_purves@dickersonllc.com,693928238,79651,217 Foster Pike Apt. 101,Miami,Florida,USA,1/31/2019,low,No,151367.1162621812,Software Engineer,medium
CNTID_1037,Edward,Daller,Edward Daller,5/23/2016,Male,edward_daller@halemartinezandrichards.com,455-714-7510,13792,139 Wright Common,Davie,Florida,USA,1/31/2019,medium,No,101025.59835586908,Teacher,high
CNTID_1038,Jason,Brazier,Jason Brazier,9/18/2004,Male,jason_brazier@bakerinc.com,(965)944-2567,33991,6071 Nelson Land,Plano,Texas,USA,1/31/2019,medium,Yes,112039.67223390596,Software Engineer,medium
CNTID_1039,David,Shenkle,David Shenkle,1/26/1997,Male,david_shenkle@maxwellinc.com,(288)501-4478x83799,54631,89875 Stephen Ridge,Rancho Cucamonga,California,USA,1/31/2019,medium,Yes,20000.0,Teacher,medium
CNTID_1040,John,Loxton,John Loxton,6/4/1995,Male,john_loxton@hollandthomasandramos.com,001-845-110-5203x923,35695,95932 Vanessa Meadows,Columbus,Georgia,USA,1/31/2019,medium,No,133071.36451845727,Software Engineer,medium
CNTID_1041,Christopher,Mcclurkan,Christopher Mcclurkan,1/1/1990,Male,christopher_mcclurkan@martinezandsons.com,722.970.8770,82676,57109 Brandi Walks Suite 478,Everett,Washington,USA,1/31/2019,medium,Yes,109068.28085505641,Software Engineer,high
CNTID_1042,Joseph,Steinke,Joseph Steinke,2/20/1981,Male,joseph_steinke@deansingleton.com,7852301348,65404,877 Kelsey Run,Austin,Texas,USA,1/31/2019,medium,No,63430.39534256909,Software Engineer,medium
CNTID_1043,Christopher,Veazey,Veazey Christopher,9/2/1977,Male,christopher_veazey@kentinc.com,295-248-5519x1220,76365,6799 Joanne Street Suite 914,Renton,Washington,USA,1/31/2019,medium,No,20000.0,Teacher,medium
CNTID_1044,Brian,Balceiro,Brian Balceiro,9/7/1970,Male,brian_balceiro@ewingplc.com,001-354-045-6046x679,38283,5627 Nguyen Greens,Santa Ana,California,USA,1/31/2019,medium,No,33872.19614278627,Teacher,low
CNTID_1045,David,Macall,Dcvid Macall,5/25/1984,Male,david_macall@robinsondiazanddougherty.com,828-720-0263,74259,2494 Spencer Knoll,Augusta,Georgia,USA,1/31/2019,medium,Yes,115085.96593232965,Software Engineer,high
CNTID_1046,Brian,Feagley,Brian Feagley,6/30/2014,Male,brian_feagley@kellystricklandandtaylor.com,915-186-8919x51321,28745,4046 Simmons Throughway,Orlando,Florida,USA,1/31/2019,medium,No,79525.29894472795,Teacher,high
CNTID_1047,Kenneth,Lockamy,Lockamy Kenneth,5/8/1996,Male,kenneth_lockamy@sandovalplc.com,001-099-753-0154x185,30071,828 Amanda Keys,Fort Worth,Texas,USA,1/31/2019,medium,No,20000.0,Teacher,low
CNTID_1048,Richard,Scatenato,Scatenato Richard,1/10/2011,Male,richard_scatenato@mayerhillandchristian.com,(685)368-4055x250,57807,05480 Harris Mill,Fayetteville,North Carolina,USA,1/31/2019,medium,No,91022.29821252688,Software Engineer,medium
CNTID_1049,Richard,Swistak,Richard Swistak,1/21/1987,Male,richard_swistak@fosterhowell.com,529-574-5125x57485,71701,24292 Chaney Path,Cambridge,Massachusetts,USA,1/31/2019,medium,No,34862.84289448873,Teacher,medium
CNTID_1050,Kevin,Woodis,Kevin Woodis,8/29/2009,Male,kevin_woodis@fergusonhaleyandjames.com,001-314-357-7831x34914,13023,8055 Smith Skyway,Broken Arrow,Oklahoma,USA,1/31/2019,medium,Yes,211915.79896323357,Software Engineer,medium
CNTID_1051,George,Farson,George Farson,8/27/2005,Male,george_farson@stoneandsons.com,678-418-1994x413,56335,75716 Jacob Run,Lancaster,California,USA,1/31/2019,medium,No,20000.0,Teacher,low
CNTID_1052,Paul,Palencia,Paul Palencia,2/13/1978,Male,paul_palencia@williamsfisheranddavis.com,114-794-3846,96740,9063 Williams Rue,San Jose,California,USA,1/31/2019,medium,No,66658.57346925599,Teacher,medium
CNTID_1053,Joseph,Lowen,Joseph Lowen,11/24/1995,Male,joseph_lowen@bartlettsuarezandbrown.com,557.155.7101x1287,59146,601 Sophia Squares Apt. 622,Cary,North Carolina,USA,1/31/2019,high,No,33900.021698323755,Software Engineer,medium
CNTID_1054,James,Nestel,James Nestel,7/20/2004,Male,james_nestel@lawrenceferguson.com,499-197-7900,87095,9740 Sandra View Suite 147,Charlotte,North Carolina,USA,1/31/2019,medium,No,132887.22960339242,Software Engineer,medium
CNTID_1055,Kevin,Sisko,Kevin Sisko,2/25/2017,Male,kevin_sisko@henryltd.com,001-098-865-1872,41455,2723 Williams Crossroad,Lexington,Kentucky,USA,1/31/2019,medium,No,123981.60499879268,Teacher,medium
CNTID_1056,Mark,Carlee,Mark Carlee,10/30/1978,Male,mark_carlee@marquezwalkerandnelson.com,(875)558-5587,58244,26725 Kelly View,Sterling Heights,Michigan,USA,1/31/2019,medium,No,60877.5148964283,Software Engineer,medium
CNTID_1057,George,Normoyle,Georce Normoyle,4/10/1975,Male,george_normoyle@griffinandsons.com,004-613-0499,60709,02182 Rogers Parkway Apt. 428,El Monte,California,USA,1/31/2019,medium,No,28430.856881460142,Teacher,medium
CNTID_1058,Robert,Ace,Ace Robert,2/29/1980,Male,robert_ace@andersonlopez.com,001-611-918-3980x4007,64130,906 Krause Streets Suite 055,Temecula,California,USA,1/31/2019,medium,No,20000.0,Teacher,low
CNTID_1059,Richard,Barkle,Richard Barkle,6/16/1981,Male,richard_barkle@williamshenderson.com,(905)237-3117,63448,416 Adkins Hill Suite 684,South Bend,Indiana,USA,1/31/2019,medium,No,106658.40805619696,Software Engineer,medium
CNTID_1060,George,Shawhan,Shawhan George,5/26/1983,Male,george_shawhan@williamsclark.com,907.838.6748,95966,184 Duncan Route,Chula Vista,California,USA,1/31/2019,medium,Yes,20000.0,Software Engineer,medium
CNTID_1061,Brian,Sapko,Sapko Brian,9/10/1978,Male,brian_sapko@wrightstoutandlopez.com,8913744576,60057,0287 Colleen Lodge Apt. 079,Topeka,Kansas,USA,1/31/2019,medium,No,28308.8004978898,Teacher,medium
CNTID_1062,Kenneth,Zissler,Kenneth Zissler,11/11/2016,Male,kenneth_zissler@williamsongroup.com,342-658-7650x4853,48641,45428 Michael Glen Apt. 522,Fort Worth,Texas,USA,1/31/2019,low,No,155644.13471684384,Software Engineer,low
CNTID_1063,Mark,Sakkas,Sakkas Mark,1/15/2005,Male,mark_sakkas@smithinc.com,661.138.3006,13401,62780 Flores Crest Apt. 358,Brownsville,Texas,USA,1/31/2019,medium,Yes,121329.61335011506,Software Engineer,low
CNTID_1064,Daniel,Asters,Daniel Asters,4/27/1974,Male,daniel_asters@robinsonochoa.com,134.021.7924,38097,59840 Lee Green Apt. 166,College Station,Texas,USA,1/31/2019,high,No,113714.93326094895,Software Engineer,high
CNTID_1065,Paul,Marsack,Paul Marsack,12/22/1983,Male,paul_marsack@clarkperezandgonzales.com,268.264.1398x56551,39136,603 Martin Stream,Sparks,Nevada,USA,1/31/2019,medium,No,72380.64906256243,Software Engineer,low
CNTID_1066,David,Stringer,David Stringer,6/18/2000,Male,david_stringer@carrgroup.com,728.051.9925x50523,77579,05845 Wade Drive,El Paso,Texas,USA,1/31/2019,medium,Yes,86956.97088836208,Teacher,medium
CNTID_1067,Robert,Bandt,Robert Bandt,7/18/2016,Male,robert_bandt@moorelamandsanchez.com,(886)926-8518x17404,53406,004 Carpenter Fields Suite 699,Fresno,California,USA,1/31/2019,medium,No,77272.21652238294,Teacher,low
CNTID_1068,Paul,Mcarthur,Mcarthur Paul,1/9/1972,Male,paul_mcarthur@penahughes.com,572.761.2846x59746,77969,4962 Parker Place,Oxnard,California,USA,1/31/2019,medium,No,20000.0,Teacher,medium
CNTID_1069,Daniel,Palumbo,Palumbo Daniel,8/12/1997,Male,daniel_palumbo@barajasmack.com,774-145-5362x6720,80770,929 Cherry Lights Apt. 531,New Haven,Connecticut,USA,1/31/2019,medium,No,97674.27483656091,Teacher,medium
CNTID_1070,George,Granelli,Gdorge Granelli,10/9/1974,Male,george_granelli@reillydeleon.com,399.674.2506x06152,41270,959 Julie Mountain Suite 769,Bellevue,Washington,USA,1/31/2019,low,Yes,164465.56877546475,Teacher,medium
CNTID_1071,Anthony,Lyson,Anthony Lyson,1/21/1994,Male,anthony_lyson@washingtonhardy.com,767-511-8356x4085,17785,745 Weaver Passage Suite 957,Philadelphia,Pennsylvania,USA,1/31/2019,medium,No,47704.03794920916,Teacher,medium
CNTID_1072,Christopher,Woodberry,Woodberry Christopher,11/17/1987,Male,christopher_woodberry@yuinc.com,001-243-948-2874x40797,77389,926 Jill Plain,Lakeland,Florida,USA,1/31/2019,high,No,57546.91335998469,Software Engineer,high
CNTID_1073,Robert,Mcnealey,Robert Mcnealey,3/6/2012,Male,robert_mcnealey@tranwilson.com,(830)288-6699x16861,57962,7814 Laura Track Suite 755,Reno,Nevada,USA,1/31/2019,medium,No,91583.28348662372,Teacher,medium
CNTID_1074,Daniel,Schummer,Daniel Schummer,7/9/2011,Male,daniel_schummer@hatfieldjoseph.com,(171)073-0929,83970,910 Lewis Circle Apt. 707,Seattle,Washington,USA,1/31/2019,low,No,138188.9913941529,Teacher,medium
CNTID_1075,Jason,Breakey,Jason Breakey,6/19/1991,Male,jason_breakey@walkerberryandhanson.com,(485)788-9400x308,51137,54581 Gomez Lock,Fairfield,California,USA,1/31/2019,medium,No,59939.53298635379,Teacher,medium
CNTID_1076,Paul,Tannehill,Paul Tannehill,1/17/1990,Male,paul_tannehill@perezgonzalesandthomas.com,001-062-766-4211x7664,78394,9881 Joseph Lakes Apt. 448,Miramar,Florida,USA,1/31/2019,medium,No,26216.34687943692,Teacher,high
CNTID_1077,Charles,Buol,Buol Charles,1/28/1976,Male,charles_buol@millerltd.com,001-249-944-7070x424,68135,6148 Patrick Green Apt. 130,Centennial,Colorado,USA,1/31/2019,medium,No,20000.0,Software Engineer,low
CNTID_1078,Christopher,Rinaldo,Rinaldo Christopher,5/6/1986,Male,christopher_rinaldo@brownhill.com,786-703-4883,67493,71127 Hale Via,Clarksville,Tennessee,USA,1/31/2019,medium,Yes,20000.0,Teacher,high
CNTID_1079,John,Woodfield,John Woodfield,12/22/1990,Male,john_woodfield@careyyoungandmiller.com,(484)265-0905x3308,95509,594 Rodriguez Locks,Plano,Texas,USA,1/31/2019,medium,Yes,35057.12713884658,Teacher,medium
CNTID_1080,Ronald,Labruzzo,Ronald Labruzzo,3/11/1983,Male,ronald_labruzzo@smithlloydandcollins.com,421.304.0809,92016,26673 Amanda Estates Suite 863,Waco,Texas,USA,1/31/2019,medium,Yes,30198.92064117288,Software Engineer,medium
CNTID_1081,George,Polintan,Glorge Polintan,3/22/1975,Male,george_polintan@youngandsons.com,645-271-3441,81556,4729 Scott Unions,Norwalk,California,USA,1/31/2019,medium,No,20000.0,Software Engineer,low
CNTID_1082,Richard,Trigueros,Richard Triguqros,8/19/1983,Male,richard_trigueros@vasquezmunoz.com,157-762-1100x125,19803,223 Tyler Knoll,Murrieta,California,USA,1/31/2019,medium,No,69772.50740225625,Software Engineer,low
CNTID_1083,Steven,Elderidge,Steven Elderidge,11/20/2001,Male,steven_elderidge@millerplc.com,019.182.2301x902,27789,970 Susan Roads Suite 586,Nashville,Tennessee,USA,1/31/2019,medium,Yes,79416.18420198534,Software Engineer,high
CNTID_1084,Charles,Kempel,Kempel Charles,11/21/1985,Male,charles_kempel@prattthomasandhayden.com,165.786.2042,37224,5695 Li Prairie Apt. 377,West Jordan,Utah,USA,1/31/2019,medium,No,73923.63710339277,Software Engineer,medium
CNTID_1085,Christopher,Zangger,Christopher Zangger,3/26/2000,Male,christopher_zangger@diazbaldwinandgomez.com,001-750-865-7952x8323,63559,70310 Brittney Manor,Inglewood,California,USA,1/31/2019,medium,No,48358.47719166841,Software Engineer,low
CNTID_1086,David,Schuele,David Schuele,6/28/2007,Male,david_schuele@carrollcalhoun.com,301-777-4378x462,20802,0592 Jessica Terrace,Washington,District of Columbia,USA,1/31/2019,medium,No,124526.75948277615,Teacher,medium
CNTID_1087,Steven,Cauthorne,Steien Cauthorne,7/18/1992,Male,steven_cauthorne@pinedagrahamandwilliams.com,(397)063-9217x07708,30342,8783 Christine Springs,Minneapolis,Minnesota,USA,1/31/2019,medium,No,93890.97332720803,Software Engineer,low
CNTID_1088,Michael,Dubose,Michael Dubose,9/22/1969,Male,michael_dubose@hollandsmith.com,521-227-4776x7017,85221,414 Frank Park Apt. 309,Richardson,Texas,USA,1/31/2019,medium,No,74007.43718620852,Teacher,medium
CNTID_1089,Steven,Weekly,Steven Weekly,1/5/2013,Male,steven_weekly@robertsandsons.com,784.048.8835,80782,81479 Jones Inlet,Saint Paul,Minnesota,USA,1/31/2019,medium,No,48013.4282282734,Teacher,medium
CNTID_1090,Anthony,Sargis,Anthony Sargis,5/18/2008,Male,anthony_sargis@perezhaasandbradley.com,643-742-2318x27691,55508,629 Kristine Way,Fort Collins,Colorado,USA,1/31/2019,high,No,107480.2185782626,Software Engineer,high
CNTID_1091,Edward,Creten,Edwabd Creten,10/24/2016,Male,edward_creten@taylorandsons.com,935-990-8735x538,84188,80804 Danielle Fort Suite 663,Fort Worth,Texas,USA,1/31/2019,medium,No,87258.1062412785,Software Engineer,low
CNTID_1092,Daniel,Phann,Daniel Phann,12/3/1983,Male,daniel_phann@bakerbrewer.com,(445)605-0596,59577,366 Decker Rapid Apt. 849,El Cajon,California,USA,1/31/2019,medium,No,134642.58248263475,Teacher,low
CNTID_1093,Brian,Chisler,Brian Chisler,5/7/1971,Male,brian_chisler@dawsonmasonandrobinson.com,863.180.6692,62146,54399 Robert Lock,Glendale,California,USA,1/31/2019,medium,No,103243.38736227498,Teacher,medium
CNTID_1094,Ronald,Speirs,Speirs Ronald,5/17/1972,Male,ronald_speirs@hendersonnelsonandolsen.com,001-946-527-2580x6869,44880,76139 Casey Rapids Apt. 740,Hollywood,Florida,USA,1/31/2019,low,No,139185.8406763202,Teacher,high
CNTID_1095,Edward,Bagdasarian,Edward Baadasarian,7/4/1980,Male,edward_bagdasarian@davisfoxandjohnson.com,(536)369-8888x3479,19161,561 Jonathan Inlet Apt. 481,Newark,New Jersey,USA,1/31/2019,high,Yes,72525.1815090563,Software Engineer,high
CNTID_1096,George,Rubero,Rubero George,11/16/1997,Male,george_rubero@browncampbellandwarner.com,001-279-768-5125,82715,72407 James Forges Suite 289,Temecula,California,USA,1/31/2019,medium,No,20000.0,Software Engineer,low
CNTID_1097,Brian,Batson,Brian Batson,4/17/2008,Male,brian_batson@jamesdudleyandgarcia.com,120-770-2761x538,31903,046 Mclaughlin Street,Ontario,California,USA,1/31/2019,medium,No,124611.1284249282,Teacher,medium
CNTID_1098,Joseph,Borell,Joseph Borell,7/27/2007,Male,joseph_borell@mendozaandsons.com,328-693-3726x1665,10339,395 Justin Knolls Apt. 890,Fayetteville,North Carolina,USA,1/31/2019,medium,No,20000.0,Teacher,medium
CNTID_1099,Brian,Repasky,Brian Repasky,7/22/2002,Male,brian_repasky@munoztorresandward.com,004-544-6400x3941,19444,2947 Gina Lock,Saint Paul,Minnesota,USA,1/31/2019,medium,No,27172.396842677972,Teacher,medium
CNTID_1100,Kenneth,Urik,Urik Kenneth,1/8/1974,Male,kenneth_urik@torresandsons.com,772.139.2296x489,21867,18457 Pamela Gateway Suite 849,Savannah,Georgia,USA,1/31/2019,medium,No,31683.417994661464,Teacher,medium
CNTID_1101,Charles,Pavlat,Pavlat Charles,3/11/1975,Male,charles_pavlat@blankenshipsmith.com,3618616978,52974,4209 Amy Creek,Chattanooga,Tennessee,USA,1/31/2019,medium,No,62192.51526726927,Software Engineer,low
CNTID_1102,Daniel,Lucchetti,Daniel Lucchetti,6/30/1988,Male,daniel_lucchetti@warrenandsons.com,5654673220,37961,4714 Fox Station Suite 612,Murrieta,California,USA,1/31/2019,medium,Yes,62424.34483340051,Software Engineer,medium
CNTID_1103,William,Boatfield,Boatfield William,2/1/2015,Male,william_boatfield@allensherman.com,(459)345-5559,58953,2686 Bonilla Trail Apt. 758,Glendale,Arizona,USA,1/31/2019,medium,Yes,20000.0,Teacher,high
CNTID_1104,James,Drabicki,James Drahicki,6/6/2014,Male,james_drabicki@smithclark.com,127-315-6880,27705,251 Hicks Park Suite 799,Richardson,Texas,USA,1/31/2019,medium,No,60558.07896966572,Teacher,medium
CNTID_1105,Michael,Kulkarni,Michaml Kulkarni,6/9/1975,Male,michael_kulkarni@bryantnelson.com,001-618-948-6290x41856,93869,128 Rodney Trace Suite 417,Elk Grove,California,USA,1/31/2019,medium,No,44482.72988330144,Teacher,medium
CNTID_1106,George,Byrnside,Byrnside George,3/12/1979,Male,george_byrnside@levineltd.com,(996)682-9594x067,98425,07636 Gates Locks,Salinas,California,USA,1/31/2019,medium,No,82685.84793644605,Software Engineer,low
CNTID_1107,John,Brahney,John Brahney,3/4/1972,Male,john_brahney@hallklein.com,454.129.2346,10322,2641 Jenna Via,Phoenix,Arizona,USA,1/31/2019,high,No,127991.39635739465,Software Engineer,medium
CNTID_1108,Thomas,Kvam,Thomas Kvam,5/9/2005,Male,thomas_kvam@garciawarrenandtate.com,5532140720,34953,6322 Wright Orchard Apt. 183,Miami Gardens,Florida,USA,1/31/2019,medium,No,65283.24629743062,Teacher,high
CNTID_1109,Charles,Hug,Charles Hug,9/14/1982,Male,charles_hug@campbellmontesandjones.com,612-481-9236x0897,69852,77983 Daniel Trafficway Suite 587,Lakeland,Florida,USA,1/31/2019,medium,No,57446.57776505428,Software Engineer,medium
CNTID_1110,Mark,Guilmain,Mark Guilmain,7/10/1988,Male,mark_guilmain@moorelane.com,277-804-0402x462,43015,7004 Randall Corner Suite 952,Boulder,Colorado,USA,1/31/2019,medium,No,95637.92902381037,Teacher,medium
CNTID_1111,Joseph,Panagakos,Joseph Panagakos,11/17/1997,Male,joseph_panagakos@mcintyrenavarroandscott.com,7147128488,22912,2755 Jesse Mission Suite 208,Wichita,Kansas,USA,1/31/2019,medium,No,20000.0,Software Engineer,low
CNTID_1112,Richard,Classon,Richard Classon,8/28/1996,Male,richard_classon@hollandwilliamsonandspencer.com,598.100.1457,26281,457 Simmons Brook,Escondido,California,USA,1/31/2019,medium,No,58401.93013698906,Teacher,medium
CNTID_1113,Anthony,Losecco,Anthony Losecco,4/6/1996,Male,anthony_losecco@gomezryan.com,040-018-0691x75843,17021,92634 Lori Groves,Greensboro,North Carolina,USA,1/31/2019,medium,Yes,114550.49981160795,Teacher,medium
CNTID_1114,Richard,Nortz,Nortz Richard,9/11/1993,Male,richard_nortz@richardsontaylorandcarpenter.com,024.485.4235x70496,66273,0554 Beth Squares Suite 577,College Station,Texas,USA,1/31/2019,medium,No,87438.99079708126,Teacher,low
